id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.33,3269621406,31,6872535467,81400949.0,1.34,1.31,-0.008022699549621759,-0.59829,-15426990.15419197,-0.46961,2452988486.06038,5156025202.721853,,8.25,-83.86441,2024-06-15T00:36:51.509Z,0.519364,156.42304,2021-09-21T00:33:11.092Z,,2026-03-07T01:33:05.249Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,5.4e-06,3178579735,32,3179963608,119053386.0,5.6e-06,5.32e-06,-1.3295841358e-07,-2.40514,-83576726.39987278,-2.56201,589243740852435.1,589500282619563.4,,8.616e-05,-93.73815,2021-10-28T03:54:55.568Z,5.6366e-11,9571439.72442,2020-11-28T11:26:25.838Z,,2026-03-07T01:33:03.208Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.076037,3123877642,33,7485917781,9808649.0,0.077795,0.075397,-0.000860422946844783,-1.11892,-36998407.958517075,-1.17051,41083109019.56538,98449787225.72237,100000000000.0,0.891544,-91.46763,2021-11-24T00:00:00.000Z,0.0121196,527.65962,2019-02-08T00:00:00.000Z,,2026-03-07T01:32:57.297Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,5142.76,2903373230,34,3665531479,596252376.0,5148.38,5047.54,76.21,1.50414,43430403.0,1.51858,564548.641693,712747.089,,5504.62,-6.53005,2026-01-29T00:00:00.000Z,1447.84,255.36781,2020-03-19T13:45:41.821Z,,2026-03-07T01:33:05.129Z
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.098695,2728510621,35,9863997880,80696392.0,0.103965,0.098393,-0.00388331550179534,-3.78571,-108573903.06225061,-3.82695,27661305831.0,100000000000.0,100000000000.0,0.331336,-70.21302,2025-09-01T12:20:09.597Z,0.098308,0.39388,2026-02-08T17:02:14.734Z,,2026-03-07T01:32:57.005Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.5,2624958210,36,8045996654,8083235.0,1.51,1.45,0.03598914,2.45335,70381840.0,2.75513,1743180691.894251,5343180687.899418,10000000000.0,2.96,-49.1327,2025-09-18T07:27:06.144Z,0.04746135,3071.1025,2025-07-04T03:56:17.448Z,,2026-03-07T01:33:00.758Z
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,5184.29,2577126811,37,2577126811,285333653.0,5187.92,5082.56,86.6,1.69873,52029826.0,2.06051,497074.037,497074.037,,5619.09,-7.69081,2026-01-29T06:30:56.612Z,1399.64,270.59041,2019-11-18T03:09:35.959Z,,2026-03-07T01:33:01.889Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.jpg?1766533446,1.49,2493906910,38,2493906910,130740516.0,1.55,1.46,-0.04251479766634314,-2.77134,-61378386.61567736,-2.40202,1671956416.715326,1671956416.715326,2100000000.0,54.98,-97.29097,2021-11-04T14:10:09.301Z,1.15,29.47931,2026-02-06T00:25:45.413Z,,2026-03-07T01:33:02.394Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.84,2435005644,39,3452707583,183008538.0,4.01,3.82,-0.12190699959234008,-3.07366,-77805697.00641298,-3.09636,633561603.6037512,898356420.0366304,1000000000.0,44.92,-91.44166,2021-05-03T05:25:04.822Z,1.03,273.16529,2020-09-17T01:20:38.214Z,,2026-03-07T01:33:05.899Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/MNT_Token_Logo.png?1765516974,0.684335,2243229645,40,4256129930,29497693.0,0.702507,0.672804,-0.011379256068874022,-1.63562,-37025683.770092964,-1.62375,3277944055.53684,6219316794.889999,6219316794.89,2.86,-76.02814,2025-10-09T01:04:46.659Z,0.307978,122.2273,2023-10-18T02:50:46.942Z,,2026-03-07T01:33:00.513Z
